Time,Values[Absorbance_0.59],Values[Absorbance_1.53],Values[Absorbance_6.6],Values[Absorbance_500],[sGC{[NO]=0.59}],[6C-sGC-NO{[NO]=0.59}],[5C-sGC-NO{[NO]=0.59}],[NO{[NO]=0.59}],[sGC{[NO]=1.53}],[6C-sGC-NO{[NO]=1.53}],[5C-sGC-NO{[NO]=1.53}],[NO{[NO]=1.53}],[sGC{[NO]=6.6}],[6C-sGC-NO{[NO]=6.6}],[5C-sGC-NO{[NO]=6.6}],[NO{[NO]=6.6}],[sGC{[NO]=500}],[6C-sGC-NO{[NO]=500}],[5C-sGC-NO{[NO]=500}],[NO{[NO]=500}]
1.69166e-05,0.0582379,0.0581709,0.0578126,0.0383601,4.69274e-07,7.26092e-10,1.1984e-15,5.89274e-07,4.68119e-07,1.8806e-09,8.03968e-15,1.52812e-06,4.61941e-07,8.05867e-09,1.4883e-13,6.59194e-06,1.26753e-07,3.42667e-07,5.79964e-10,0.000499657
1.75543e-05,0.0582363,0.0581668,0.0577951,0.0380051,4.69247e-07,7.53423e-10,1.29036e-15,5.89247e-07,4.68049e-07,1.95129e-09,8.65639e-15,1.52805e-06,4.6164e-07,8.35953e-09,1.6022e-13,6.59164e-06,1.20645e-07,3.48738e-07,6.16316e-10,0.000499651
1.8192e-05,0.0582347,0.0581627,0.0577777,0.0376672,4.69219e-07,7.80751e-10,1.38572e-15,5.89219e-07,4.67978e-07,2.02198e-09,9.29582e-15,1.52798e-06,4.6134e-07,8.66018e-09,1.72027e-13,6.59134e-06,1.14832e-07,3.54515e-07,6.5329e-10,0.000499645
1.88297e-05,0.0582331,0.0581586,0.0577603,0.0373455,4.69192e-07,8.08077e-10,1.48448e-15,5.89192e-07,4.67907e-07,2.09265e-09,9.95797e-15,1.52791e-06,4.61039e-07,8.96063e-09,1.8425e-13,6.59104e-06,1.09299e-07,3.6001e-07,6.90856e-10,0.000499639
2.11464e-05,0.0582274,0.0581437,0.0576971,0.0363015,4.69093e-07,9.07327e-10,1.87179e-15,5.89093e-07,4.67651e-07,2.34928e-09,1.25547e-14,1.52765e-06,4.59949e-07,1.00504e-08,2.32157e-13,6.58995e-06,9.13474e-08,3.77821e-07,8.31878e-10,0.000499621
2.34632e-05,0.0582216,0.0581289,0.057634,0.0354284,4.68993e-07,1.00654e-09,2.30385e-15,5.88993e-07,4.67394e-07,2.60572e-09,1.54509e-14,1.52739e-06,4.58862e-07,1.11374e-08,2.8554e-13,6.58886e-06,7.63448e-08,3.92676e-07,9.79116e-10,0.000499606
2.57799e-05,0.0582159,0.058114,0.0575711,0.0346981,4.68894e-07,1.10572e-09,2.78061e-15,5.88894e-07,4.67138e-07,2.86198e-09,1.86462e-14,1.52714e-06,4.57778e-07,1.22217e-08,3.44383e-13,6.58778e-06,6.38066e-08,4.05062e-07,1.13154e-09,0.000499594
2.80967e-05,0.0582101,0.0580992,0.0575084,0.0340872,4.68795e-07,1.20485e-09,3.30204e-15,5.88795e-07,4.66882e-07,3.11806e-09,2.21404e-14,1.52688e-06,4.56696e-07,1.33032e-08,4.08672e-13,6.5867e-06,5.33277e-08,4.15384e-07,1.28828e-09,0.000499583
3.04134e-05,0.0582044,0.0580843,0.0574458,0.0335761,4.68696e-07,1.30395e-09,3.86812e-15,5.88696e-07,4.66626e-07,3.37396e-09,2.5933e-14,1.52663e-06,4.55618e-07,1.43819e-08,4.78391e-13,6.58562e-06,4.45699e-08,4.23981e-07,1.44863e-09,0.000499575
3.27302e-05,0.0581986,0.0580695,0.0573834,0.0331483,4.68597e-07,1.40302e-09,4.4788e-15,5.88597e-07,4.6637e-07,3.62967e-09,3.00239e-14,1.52637e-06,4.54541e-07,1.5458e-08,5.53523e-13,6.58454e-06,3.72505e-08,4.31138e-07,1.61197e-09,0.000499567
3.50469e-05,0.0581929,0.0580547,0.0573211,0.0327902,4.68498e-07,1.50204e-09,5.13407e-15,5.88498e-07,4.66115e-07,3.8852e-09,3.44126e-14,1.52611e-06,4.53468e-07,1.65313e-08,6.34054e-13,6.58347e-06,3.11332e-08,4.37089e-07,1.77781e-09,0.000499561
3.767e-05,0.0581864,0.0580379,0.0572508,0.0324545,4.68386e-07,1.61411e-09,5.92974e-15,5.88386e-07,4.65826e-07,4.17429e-09,3.97409e-14,1.52583e-06,4.52256e-07,1.77433e-08,7.31731e-13,6.58226e-06,2.54105e-08,4.42621e-07,1.96806e-09,0.000499555
4.02931e-05,0.0581799,0.0580211,0.0571807,0.0321797,4.68274e-07,1.72614e-09,6.78248e-15,5.88274e-07,4.65537e-07,4.46315e-09,4.54501e-14,1.52554e-06,4.51047e-07,1.89517e-08,8.36286e-13,6.58105e-06,2.07398e-08,4.471e-07,2.16046e-09,0.000499551
4.29162e-05,0.0581734,0.0580044,0.0571108,0.0319547,4.68162e-07,1.83811e-09,7.69223e-15,5.88162e-07,4.65248e-07,4.75178e-09,5.15399e-14,1.52525e-06,4.49842e-07,2.01568e-08,9.47697e-13,6.57984e-06,1.69277e-08,4.50718e-07,2.3546e-09,0.000499547
